specobjid,ra,dec,plate,mjd,fiberid,subClass,fiberid1,z,oiii_5007_flux,h_beta_flux,h_gamma_flux,oiii_5007_cont,h_beta_cont,h_gamma_cont,oiii_5007_eqw,h_beta_eqw,h_gamma_eqw,e_bv_sfd,[O III]/Hb,Hb/Hg,[O III]/Hg
720716989286344704,321.58192,-6.9024873,640,52178,513,BROADLINE,513,0.4174148,318.3071,952.4866,541.1448,55.52861,67.35637,72.29052,-5.149707,-10.36639,-6.109486,0.09496573,0.3341854,1.760133,0.5882106
2075194121030494208,224.11339,31.363648,1843,53816,584,BROADLINE,584,0.4980763,249.477,557.34,232.5813,22.50405,32.91986,30.82409,-10.94297,-12.03965,-6.070393,0.01577194,0.4476209,2.396323,1.072644
2446677869343041536,239.48613,21.176356,2173,53874,354,BROADLINE,354,0.4557629,328.9943,509.9599,204.3893,25.30301,31.4456,34.69223,-11.59435,-11.65119,-4.860476,0.05542863,0.6451375,2.495043,1.609646
2642528650955614208,152.62729,25.997088,2347,53757,151,BROADLINE,151,0.5113347,1001.238,1452.441,670.8977,49.40611,63.53238,61.27076,-20.08843,-16.70732,-8.765741,0.02648882,0.6893487,2.164921,1.492386
1378205711091132416,174.06308,10.57526,1224,52765,379,BROADLINE,379,0.5228383,453.2127,1333.446,487.05,60.81443,74.54216,82.26843,-5.81275,-12.69335,-4.627244,0.04002199,0.3398808,2.737802,0.9305261
1932140511615805440,223.84395,12.121759,1716,53827,350,BROADLINE,350,0.5008188,720.553,798.7177,419.5505,49.19775,63.35083,61.79921,-13.84069,-9.304626,-5.540572,0.03326718,0.9021373,1.903746,1.71744
462849620679092224,44.906114,0.62673576,411,51817,381,BROADLINE,381,0.5324706,552.5841,1313.903,428.4151,71.33176,88.44538,104.5228,-4.864962,-10.74767,-3.299541,0.08810838,0.4205669,3.066892,1.289833
452743459149735936,27.427106,0.25048134,402,51793,479,BROADLINE,479,0.5524943,405.3788,1318.962,567.8525,62.40149,83.00439,88.55048,-5.045251,-11.35889,-5.18898,0.03973217,0.307347,2.322718,0.7138805
2016499449110489088,193.72955,8.7816549,1791,54266,46,BROADLINE,46,0.4389866,386.1707,1027.594,450.6133,35.82859,41.17266,44.80069,-7.081067,-17.74196,-8.417259,0.02399247,0.3758007,2.280435,0.8569891
2076190283967522816,226.365,29.788438,1844,54138,112,BROADLINE,112,0.5256413,421.6413,717.105,393.4597,68.0481,84.10603,90.37955,-5.08271,-6.350803,-3.576271,0.02177914,0.5879771,1.822562,1.071625
1974917553834715136,171.67925,15.765243,1754,53385,324,BROADLINE,324,0.4343848,826.9564,1279.667,557.6337,51.3846,59.80191,63.84496,-15.18375,-15.685,-6.921477,0.03020268,0.646228,2.294816,1.482974
892989573859141632,228.82624,55.259844,793,52370,549,BROADLINE,549,0.513281,379.778,481.7625,178.8986,27.62052,39.36185,35.7096,-13.9523,-8.881385,-4.022135,0.01412164,0.7883095,2.692936,2.122867
2194508718404560896,149.58728,32.400625,1949,53433,472,BROADLINE,472,0.5306148,3442.043,1219.554,834.9734,97.19539,100.8414,117.8011,-29.74846,-9.254515,-5.825003,0.01484899,2.822379,1.46059,4.122338
717269470510344192,315.00519,-7.1934279,637,52174,259,BROADLINE,259,0.5993487,1007.524,3992.194,1681.008,198.0445,249.6208,267.7645,-3.956712,-11.40223,-5.103444,0.07477354,0.2523734,2.374881,0.5993569
370579708397512704,177.30804,-1.7483322,329,52056,577,BROADLINE,577,0.4580766,818.7128,1135.089,561.2687,40.06153,53.40923,52.31647,-21.4657,-15.52481,-8.651393,0.02008798,0.721276,2.022363,1.458682
683580987245881344,219.40171,61.919418,607,52368,581,BROADLINE,581,0.5525806,255.1031,567.0939,240.3159,27.4567,35.54063,38.31635,-10.10066,-11.73849,-5.075665,0.01419172,0.4498428,2.359785,1.061532
631799760788940800,163.1365,61.422486,561,52295,618,BROADLINE,618,0.4208928,2170.055,625.7569,354.9992,44.01823,54.92368,54.92578,-49.81762,-8.85923,-5.339982,0.01354015,3.467889,1.7627,6.112846
2079710371081381888,232.16922,28.424958,1847,54176,630,BROADLINE,630,0.4473778,821.5318,1699.505,782.9147,65.0386,92.30501,88.11752,-12.61573,-13.29521,-7.130598,0.02485514,0.4833947,2.170741,1.049325
1996303325292685312,197.82028,14.436937,1773,53112,301,BROADLINE,301,0.4975437,599.5065,651.824,494.7891,62.67966,71.46882,80.65339,-7.904873,-6.771779,-5.055132,0.02385371,0.9197367,1.317378,1.21164
560726774195972096,212.74052,64.552972,498,51984,104,BROADLINE,104,0.4614837,231.4059,462.6565,197.1892,26.91849,31.27033,36.22148,-6.52823,-10.74795,-4.494105,0.01426796,0.5001677,2.346257,1.173522
2934264001959323648,204.00838,17.420307,2606,54154,614,BROADLINE,614,0.552017,359.146,1450.117,733.9569,93.7963,107.3178,124.8986,-2.357616,-9.709053,-4.70366,0.02188222,0.2476668,1.975753,0.4893284
